locus	category	family	chrom	start	end	strand	source	gene_id	transcript_id	repFamily	repName	intModel	l1base_id
ERV316A3_1p36.33	oneside	oneside	chr1	40736	42273	-	rmsk	ERV316A3_1p36.33	ERV316A3_1p36.33	ERVL	LTR16C	ERV3-16A3_I-int	
HML3_1p36.33	oneside	oneside	chr1	895544	898699	-	rmsk	HML3_1p36.33	HML3_1p36.33	ERVK	HERVK9-int	HERVK9-int	
MER4B_1p36.33	prototype	prototype	chr1	1275713	1280788	-	rmsk	MER4B_1p36.33	MER4B_1p36.33	ERV1	MER4B	MER4B-int	
HARLEQUIN_1p36.33	prototype	prototype	chr1	1412252	1418852	-	rmsk	HARLEQUIN_1p36.33	HARLEQUIN_1p36.33	ERV1	LTR2B	Harlequin-int	
HERVIP10F_1p36.33	internal	internal	chr1	1449072	1449730	-	rmsk	HERVIP10F_1p36.33	HERVIP10F_1p36.33	ERV1	HERVIP10F-int	HERVIP10F-int	
HERVL_1p36.32	internal	internal	chr1	2625292	2626288	+	rmsk	HERVL_1p36.32	HERVL_1p36.32	ERVL	HERVL-int	HERVL-int	
ERVLE_1p36.32a	internal	internal	chr1	2637771	2638501	+	rmsk	ERVLE_1p36.32a	ERVLE_1p36.32a	ERVL	ERVL-E-int	ERVL-E-int	
ERVLE_1p36.32b	internal	internal	chr1	2897224	2898434	-	rmsk	ERVLE_1p36.32b	ERVLE_1p36.32b	ERVL	ERVL-E-int	ERVL-E-int	
ERVLB4_1p36.32	internal	internal	chr1	3002414	3003699	-	rmsk	ERVLB4_1p36.32	ERVLB4_1p36.32	ERVL	ERVL-B4-int	ERVL-B4-int	
HML4_1p36.32	prototype	prototype	chr1	3801472	3806930	-	rmsk	HML4_1p36.32	HML4_1p36.32	ERVK	LTR13	HERVK13-int	
ERVLE_1p36.32c	internal	internal	chr1	3969312	3969956	-	rmsk	ERVLE_1p36.32c	ERVLE_1p36.32c	ERVL	ERVL-E-int	ERVL-E-int	
HERVH_1p36.32a	oneside	oneside	chr1	4180997	4187514	-	rmsk	HERVH_1p36.32a	HERVH_1p36.32a	ERV1	HERVH-int	HERVH-int	
