locus	category	family	chrom	start	end	strand	source	gene_id	transcript_id	repFamily	repName	intModel	l1base_id
L1FLnI_1p36.33a	L1FLnI	L1FLnI	chr1	437437	447857	+	l1base	L1FLnI_1p36.33a_chr1_437437_447857	L1FLnI_1p36.33a_chr1_437437_447857				UID-7124
L1FLnI_1p36.33b	L1FLnI	L1FLnI	chr1	672413	682833	+	l1base	L1FLnI_1p36.33b_chr1_672413_682833	L1FLnI_1p36.33b_chr1_672413_682833				UID-7125
L1FLnI_1p36.32a	L1FLnI	L1FLnI	chr1	4030827	4040471	+	l1base	L1FLnI_1p36.32a_chr1_4030827_4040471	L1FLnI_1p36.32a_chr1_4030827_4040471				UID-6947
L1FLnI_1p36.32b	L1FLnI	L1FLnI	chr1	4031942	4040471	+	l1base	L1FLnI_1p36.32b_chr1_4031942_4040471	L1FLnI_1p36.32b_chr1_4031942_4040471				UID-6967
L1FLnI_1p36.23	L1FLnI	L1FLnI	chr1	7411259	7421422	-	l1base	L1FLnI_1p36.23_chr1_7411259_7421422	L1FLnI_1p36.23_chr1_7411259_7421422				UID-6882
L1FLnI_1p36.21a	L1FLnI	L1FLnI	chr1	14354902	14365340	-	l1base	L1FLnI_1p36.21a_chr1_14354902_14365340	L1FLnI_1p36.21a_chr1_14354902_14365340				UID-7174
L1FLnI_1p36.21b	L1FLnI	L1FLnI	chr1	14354929	14365340	-	l1base	L1FLnI_1p36.21b_chr1_14354929_14365340	L1FLnI_1p36.21b_chr1_14354929_14365340				UID-7169
L1FLnI_1p36.21c	L1FLnI	L1FLnI	chr1	14381820	14391841	-	l1base	L1FLnI_1p36.21c_chr1_14381820_14391841	L1FLnI_1p36.21c_chr1_14381820_14391841				UID-6803
L1FLnI_1p36.11	L1FLnI	L1FLnI	chr1	24268893	24278714	-	l1base	L1FLnI_1p36.11_chr1_24268893_24278714	L1FLnI_1p36.11_chr1_24268893_24278714				UID-7148
L1ORF2_1p36.11	L1ORF2	L1ORF2	chr1	25505585	25513733	+	l1base	L1ORF2_1p36.11_chr1_25505585_25513733	L1ORF2_1p36.11_chr1_25505585_25513733				UID-87
L1FLnI_1p35.2a	L1FLnI	L1FLnI	chr1	30423646	30434046	+	l1base	L1FLnI_1p35.2a_chr1_30423646_30434046	L1FLnI_1p35.2a_chr1_30423646_30434046				UID-7490
L1FLnI_1p35.2b	L1FLnI	L1FLnI	chr1	30434993	30444625	+	l1base	L1FLnI_1p35.2b_chr1_30434993_30444625	L1FLnI_1p35.2b_chr1_30434993_30444625				UID-7352
L1FLnI_1p35.2c	L1FLnI	L1FLnI	chr1	30453087	30463218	-	l1base	L1FLnI_1p35.2c_chr1_30453087_30463218	L1FLnI_1p35.2c_chr1_30453087_30463218				UID-7071
L1FLnI_1p35.2d	L1FLnI	L1FLnI	chr1	30489891	30500056	+	l1base	L1FLnI_1p35.2d_chr1_30489891_30500056	L1FLnI_1p35.2d_chr1_30489891_30500056				UID-6890
L1FLnI_1p35.1a	L1FLnI	L1FLnI	chr1	33668499	33678618	+	l1base	L1FLnI_1p35.1a_chr1_33668499_33678618	L1FLnI_1p35.1a_chr1_33668499_33678618				UID-6879
L1FLnI_1p35.1b	L1FLnI	L1FLnI	chr1	33826022	33836165	+	l1base	L1FLnI_1p35.1b_chr1_33826022_33836165	L1FLnI_1p35.1b_chr1_33826022_33836165				UID-6744
L1FLnI_1p35.1c	L1FLnI	L1FLnI	chr1	34088896	34098926	+	l1base	L1FLnI_1p35.1c_chr1_34088896_34098926	L1FLnI_1p35.1c_chr1_34088896_34098926				UID-6718
L1FLnI_1p35.1d	L1FLnI	L1FLnI	chr1	34088896	34098913	+	l1base	L1FLnI_1p35.1d_chr1_34088896_34098913	L1FLnI_1p35.1d_chr1_34088896_34098913				UID-6815
L1FLnI_1p35.1e	L1FLnI	L1FLnI	chr1	34247243	34257267	+	l1base	L1FLnI_1p35.1e_chr1_34247243_34257267	L1FLnI_1p35.1e_chr1_34247243_34257267				UID-6719
L1FLnI_1p34.3a	L1FLnI	L1FLnI	chr1	34302218	34312541	+	l1base	L1FLnI_1p34.3a_chr1_34302218_34312541	L1FLnI_1p34.3a_chr1_34302218_34312541				UID-7268
L1FLnI_1p34.3b	L1FLnI	L1FLnI	chr1	34565576	34575605	-	l1base	L1FLnI_1p34.3b_chr1_34565576_34575605	L1FLnI_1p34.3b_chr1_34565576_34575605				UID-6680
L1FLnI_1p34.3c	L1FLnI	L1FLnI	chr1	37204531	37213889	+	l1base	L1FLnI_1p34.3c_chr1_37204531_37213889	L1FLnI_1p34.3c_chr1_37204531_37213889				UID-6728
L1FLnI_1p34.3d	L1FLnI	L1FLnI	chr1	37374525	37384703	-	l1base	L1FLnI_1p34.3d_chr1_37374525_37384703	L1FLnI_1p34.3d_chr1_37374525_37384703				UID-7429
L1FLnI_1p34.3e	L1FLnI	L1FLnI	chr1	38399317	38409852	+	l1base	L1FLnI_1p34.3e_chr1_38399317_38409852	L1FLnI_1p34.3e_chr1_38399317_38409852				UID-6932
L1FLnI_1p34.3f	L1FLnI	L1FLnI	chr1	38628658	38638845	-	l1base	L1FLnI_1p34.3f_chr1_38628658_38638845	L1FLnI_1p34.3f_chr1_38628658_38638845				UID-7410
L1FLnI_1p34.2a	L1FLnI	L1FLnI	chr1	40362115	40371369	+	l1base	L1FLnI_1p34.2a_chr1_40362115_40371369	L1FLnI_1p34.2a_chr1_40362115_40371369				UID-7357
L1FLnI_1p34.2b	L1FLnI	L1FLnI	chr1	41172766	41182862	+	l1base	L1FLnI_1p34.2b_chr1_41172766_41182862	L1FLnI_1p34.2b_chr1_41172766_41182862				UID-6881
L1FLnI_1p34.2c	L1FLnI	L1FLnI	chr1	42055777	42065872	+	l1base	L1FLnI_1p34.2c_chr1_42055777_42065872	L1FLnI_1p34.2c_chr1_42055777_42065872				UID-6885
L1FLnI_1p34.2d	L1FLnI	L1FLnI	chr1	42893961	42904294	-	l1base	L1FLnI_1p34.2d_chr1_42893961_42904294	L1FLnI_1p34.2d_chr1_42893961_42904294				UID-6948
L1FLnI_1p34.2e	L1FLnI	L1FLnI	chr1	43114029	43124016	-	l1base	L1FLnI_1p34.2e_chr1_43114029_43124016	L1FLnI_1p34.2e_chr1_43114029_43124016				UID-7366
L1FLnI_1p34.1a	L1FLnI	L1FLnI	chr1	45158856	45168982	+	l1base	L1FLnI_1p34.1a_chr1_45158856_45168982	L1FLnI_1p34.1a_chr1_45158856_45168982				UID-7023
L1FLnI_1p34.1b	L1FLnI	L1FLnI	chr1	45281067	45291211	+	l1base	L1FLnI_1p34.1b_chr1_45281067_45291211	L1FLnI_1p34.1b_chr1_45281067_45291211				UID-6835
L1FLnI_1p33a	L1FLnI	L1FLnI	chr1	46824640	46834812	-	l1base	L1FLnI_1p33a_chr1_46824640_46834812	L1FLnI_1p33a_chr1_46824640_46834812				UID-7043
L1FLnI_1p33b	L1FLnI	L1FLnI	chr1	46842639	46851391	+	l1base	L1FLnI_1p33b_chr1_46842639_46851391	L1FLnI_1p33b_chr1_46842639_46851391				UID-7044
